label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height,huePlantMean,satPlantMean,valPlantMean,huePlantStd,satPlantStd,valPlantStd,huePlantMedian,satPlantMedian,valPlantMedian,category,Lettuce color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
R5,219,50,1698,1517,20251207_141906.jpg,2992,2992,0.137576206,0.364224779,0.241534754,0.049282863,0.124829199,0.052892495,0.141666667,0.369863014,0.243137255,RED_white_blue_led_ids,RED,0.27,0.03,0.5661,0.7224,0.181,0.386,09/12/2025,White+Blue LED
R14,54,486,1657,1508,20251207_145219.jpg,2992,2992,0.166869795,0.848728774,0.290138943,0.01922642,0.185475872,0.076878224,0.169590643,0.9375,0.290196078,RED_Shade_ids,RED,0.21,0.03,0.3723,0.6947,0.174,0.199,09/12/2025,Shade
R15,359,0,1648,1442,20251207_145303.jpg,2992,2992,0.156656548,0.821471048,0.274299683,0.02975144,0.222592171,0.07796172,0.164141414,0.944444444,0.266666667,RED_Shade_ids,RED,0.28,0.03,0.4984,0.7101,0.178,0.321,09/12/2025,Shade
C1,549,379,1500,1508,20251207_150459.jpg,2992,2992,0.121473782,0.715877717,0.287638607,0.026821236,0.1931527,0.0906548,0.120218579,0.684210526,0.294117647,RED_Control_ids,RED,0.23,0.03,0.5577,0.6355,0.159,0.399,09/12/2025,Control-Sun
C2,62,371,2019,1797,20251207_150611.jpg,2992,2992,0.105284505,0.659417705,0.304117744,0.019665833,0.1969983,0.099428474,0.103174603,0.612903226,0.31372549,RED_Control_ids,RED,0.25,0.03,0.7991,0.662,0.166,0.634,09/12/2025,Control-Sun
C3,400,264,1838,1764,20251207_150705.jpg,2992,2992,0.117082222,0.711492988,0.248935809,0.020201656,0.204900595,0.08416594,0.119047619,0.676923077,0.250980392,RED_Control_ids,RED,0.28,0.03,0.5859,0.6995,0.175,0.411,09/12/2025,Control-Sun
C4,442,462,1640,1591,20251207_150755.jpg,2992,2992,0.097624584,0.718593463,0.223948364,0.024401069,0.203525345,0.076580329,0.09375,0.711538462,0.215686275,RED_Control_ids,RED,0.2,0.03,0.8798,0.703,0.176,0.704,09/12/2025,Control-Sun
C5,211,140,1929,1879,20251207_150851.jpg,2992,2992,0.111391827,0.656477401,0.271389223,0.030305826,0.216562877,0.089452747,0.112244898,0.613636364,0.278431373,RED_Control_ids,RED,0.21,0.03,1.0127,0.5168,0.129,0.884,09/12/2025,Control-Sun
R12,384,17,1681,1789,20251207_145032.jpg,2992,2992,0.173765462,0.881275735,0.278994206,0.022032647,0.16819626,0.087592286,0.173333333,1,0.290196078,RED_Shade_ids,RED,0.26,0.03,0.351,0.7063,0.177,0.292,09/12/2025,Shade
R4,252,190,1525,1533,20251207_141839.jpg,2992,2992,0.12741665,0.379972582,0.242446797,0.049373047,0.118703264,0.049428505,0.122222222,0.379310345,0.243137255,RED_white_blue_led_ids,RED,0.26,0.03,0.6931,0.7705,0.193,0.5,09/12/2025,White+Blue LED
R11,351,50,1599,1673,20251207_144921.jpg,2992,2992,0.173059993,0.86206236,0.26714155,0.016042504,0.172329793,0.067282505,0.173469388,0.955882353,0.266666667,RED_Shade_ids,RED,0.28,0.03,0.3036,0.5977,0.149,0.202,09/12/2025,Shade
R2,0,99,1538,1657,20251207_141728.jpg,2992,2992,0.132196269,0.660375288,0.182101073,0.030952104,0.269441347,0.070957154,0.133333333,0.676470588,0.180392157,RED_white_blue_led_ids,RED,0.16,0.03,0.6154,0.6725,0.168,0.447,09/12/2025,White+Blue LED
R1,186,140,1747,1418,20251207_141612.jpg,2992,2992,0.15725694,0.760332491,0.217189923,0.020062756,0.229665555,0.066141439,0.158914729,0.802816901,0.219607843,RED_white_blue_led_ids,RED,0.27,0.03,0.5207,0.7561,0.189,0.332,09/12/2025,White+Blue LED
R6,747,256,1245,1253,20251207_143358.jpg,2992,2992,0.107525361,0.310237599,0.245148217,0.037237782,0.089893564,0.051897863,0.111111111,0.298507463,0.243137255,RED_white_led_ids,RED,0.2,0.03,0.5122,0.4783,0.12,0.393,09/12/2025,White LED
R7,409,115,1591,1566,20251207_143452.jpg,2992,2992,0.129198772,0.597271414,0.256872516,0.023902411,0.209192036,0.079821781,0.127192982,0.560606061,0.262745098,RED_white_led_ids,RED,0.25,0.03,0.5503,0.8727,0.218,0.332,09/12/2025,White LED
R8,0,0,2057,1665,20251207_143606.jpg,2992,2992,0.146630432,0.639593398,0.245096918,0.022877707,0.232078669,0.075763119,0.146464646,0.62962963,0.243137255,RED_white_led_ids,RED,0.76,0.03,0.4176,0.7953,0.199,0.219,09/12/2025,White LED
R9,219,41,1657,1599,20251207_143703.jpg,2992,2992,0.103178985,0.305320869,0.315242635,0.026339911,0.076401867,0.054299726,0.104166667,0.309090909,0.321568627,RED_white_led_ids,RED,0.27,0.03,0.4936,0.7913,0.198,0.296,09/12/2025,White LED
R10,161,272,1673,1492,20251207_143753.jpg,2992,2992,0.131680484,0.589117373,0.205429416,0.029178079,0.221596611,0.070996833,0.133333333,0.553846154,0.207843137,RED_white_led_ids,RED,0.31,0.03,0.4782,0.8527,0.213,0.265,09/12/2025,White LED
R3,425,132,1599,1484,20251207_141814.jpg,2992,2992,0.143597862,0.572865801,0.161916476,0.029998746,0.228137954,0.061578018,0.143939394,0.543859649,0.160784314,RED_white_blue_led_ids,RED,0.13,0.03,0.8439,0.4231,0.106,0.738,09/12/2025,White+Blue LED
R13,260,330,1616,1616,20251207_145122.jpg,2992,2992,0.16733334,0.843215956,0.237243388,0.018483013,0.194164863,0.075863218,0.169047619,0.946428571,0.239215686,RED_Shade_ids,RED,0.28,0.03,0.469,0.8322,0.208,0.164,09/12/2025,Shade
R15,5,0,2407,2440,20251216_122508.jpg,2992,2992,0.179381743,0.856308664,0.307970056,0.019159066,0.20587234,0.091729417,0.176638177,1,0.301960784,RED_Shade_ids,RED,0.45,0.03,0.3403,0.5243,0.131,0.209,17/12/2025,Shade
R1,46,0,2390,2160,20251216_120226.jpg,2992,2992,0.105376642,0.466338466,0.295477682,0.03060756,0.249708243,0.092357369,0.097222222,0.418604651,0.294117647,RED_white_blue_led_ids,RED,0.42,0.03,0.3447,0.4428,0.111,0.234,17/12/2025,White+Blue LED
C1,5,17,2934,2440,20251216_123311.jpg,2992,2992,0.112167413,0.604778868,0.302992657,0.029983931,0.273592102,0.107303548,0.103773585,0.573529412,0.298039216,RED_Control_ids,RED,0.38,0.03,0.4537,0.3259,0.081,0.372,17/12/2025,Control-Sun
R14,203,0,2761,2555,20251216_122439.jpg,2992,2992,0.186979247,0.800896244,0.412635136,0.018267239,0.223710517,0.092145247,0.182539683,0.892473118,0.403921569,RED_Shade_ids,RED,0.57,0.03,0.3571,0.5738,0.143,0.214,17/12/2025,Shade
C3,178,41,2283,2407,20251216_123406.jpg,2992,2992,0.103903725,0.57858058,0.296539698,0.02321131,0.234897154,0.093295725,0.098958333,0.537313433,0.294117647,RED_Control_ids,RED,0.79,0.03,0.6139,0.6157,0.154,0.46,17/12/2025,Control-Sun
C4,112,91,2432,2464,20251216_123429.jpg,2992,2992,0.099203126,0.526703466,0.30272793,0.021533609,0.223347895,0.103032277,0.095744681,0.491525424,0.301960784,RED_Control_ids,RED,0.48,0.03,0.5629,0.5422,0.136,0.427,17/12/2025,Control-Sun
C5,5,0,2530,2473,20251216_123452.jpg,2992,2992,0.107109287,0.628010095,0.306906128,0.029294892,0.278359766,0.109760177,0.100877193,0.641791045,0.294117647,RED_Control_ids,RED,0.29,0.03,0.6089,0.3531,0.088,0.521,17/12/2025,Control-Sun
C2,260,8,2242,2390,20251216_123338.jpg,2992,2992,0.110107167,0.583749993,0.293645466,0.026062337,0.268507851,0.10624093,0.104166667,0.524271845,0.298039216,RED_Control_ids,RED,0.42,0.03,0.7704,0.4259,0.106,0.664,17/12/2025,Control-Sun
R2,0,206,2593,2160,20251216_120250.jpg,2992,2992,0.133675664,0.541416132,0.261724305,0.034260591,0.271091615,0.091790406,0.133333333,0.511627907,0.254901961,RED_white_blue_led_ids,RED,1.2,0.03,0.4441,0.7598,0.19,0.254,17/12/2025,White+Blue LED
R3,5,0,2201,2481,20251216_120336.jpg,2992,2992,0.124571318,0.558778165,0.288821473,0.03062855,0.289397152,0.095718024,0.120567376,0.5,0.298039216,RED_white_blue_led_ids,RED,0.38,0.03,0.5158,0.5741,0.144,0.372,17/12/2025,White+Blue LED
R4,46,0,2662,2432,20251216_120405.jpg,2992,2992,0.118956463,0.517046471,0.263776065,0.038218085,0.279852478,0.09330583,0.115942029,0.474576271,0.258823529,RED_white_blue_led_ids,RED,0.78,0.03,0.3692,0.5843,0.146,0.223,17/12/2025,White+Blue LED
R5,29,17,2291,2349,20251216_120432.jpg,2992,2992,0.151095281,0.642404554,0.268105467,0.025635873,0.286446145,0.091140696,0.14957265,0.64,0.262745098,RED_white_blue_led_ids,RED,1.6,0.03,0.4115,0.4563,0.114,0.297,17/12/2025,White+Blue LED
R6,112,165,2143,2003,20251216_121332.jpg,2992,2992,0.106751138,0.379814512,0.237523605,0.033937621,0.203380532,0.08505131,0.098039216,0.340425532,0.231372549,RED_white_led_ids,RED,0.77,0.03,0.3906,0.5912,0.148,0.243,17/12/2025,White LED
R7,219,25,2341,2102,20251216_121354.jpg,2992,2992,0.1170031,0.390463311,0.21968829,0.038154951,0.226704168,0.080788239,0.111111111,0.349206349,0.223529412,RED_white_led_ids,RED,0.92,0.03,0.4189,0.6681,0.167,0.252,17/12/2025,White LED
R8,0,0,2585,2605,20251216_121427.jpg,2992,2992,0.140193661,0.505721303,0.32179942,0.027053982,0.270420936,0.109237931,0.140350877,0.445945946,0.325490196,RED_white_led_ids,RED,0.82,0.03,0.4001,0.6581,0.165,0.236,17/12/2025,White LED
R9,5,25,2415,2407,20251216_121454.jpg,2992,2992,0.109031326,0.399743579,0.319610533,0.030122024,0.226169228,0.104545371,0.104166667,0.351351351,0.325490196,RED_white_led_ids,RED,0.94,0.03,0.3971,0.6621,0.166,0.232,17/12/2025,White LED
R10,269,99,1879,1896,20251216_121519.jpg,2992,2992,0.15478213,0.585156588,0.234678008,0.024296173,0.251457228,0.091145165,0.15530303,0.540983607,0.231372549,RED_white_led_ids,RED,0.53,0.03,0.3766,0.5876,0.147,0.23,17/12/2025,White LED
R12,13,58,2432,2333,20251216_122348.jpg,2992,2992,0.181758834,0.847744854,0.308308465,0.018775046,0.194799984,0.096872452,0.178294574,0.989010989,0.305882353,RED_Shade_ids,RED,0.36,0.03,0.4124,0.6571,0.164,0.248,17/12/2025,Shade
R13,318,148,2291,2423,20251216_122413.jpg,2992,2992,0.181500268,0.760723039,0.35569012,0.016975818,0.228715321,0.091102454,0.179292929,0.803278689,0.356862745,RED_Shade_ids,RED,0.31,0.03,0.3879,0.4841,0.121,0.267,17/12/2025,Shade
R11,0,0,2931,2712,20251216_122320.jpg,2992,2992,0.175702552,0.82682447,0.338760578,0.018662034,0.208734409,0.106481933,0.175,0.933333333,0.337254902,RED_Shade_ids,RED,0.52,0.03,0.4445,0.8693,0.217,0.227,17/12/2025,Shade
R10,271,66,2237,1975,20251223_130433.jpg,2992,2992,0.177268897,0.715151466,0.400177403,0.032980659,0.212758498,0.135477202,0.175438596,0.699151018,0.407843137,RED_white_led_ids,RED,1.43,0.03,0.4154,0.6842,0.171,0.244,25/12/2025,White LED
R9,311,223,1995,2060,20251223_130405.jpg,2992,2992,0.155903099,0.706093519,0.379109918,0.038759385,0.287918372,0.162226345,0.157407407,0.764705882,0.360784314,RED_white_led_ids,RED,1.96,0.03,0.3974,0.5184,0.13,0.268,25/12/2025,White LED
R8,376,131,2211,2310,20251223_130333.jpg,2992,2992,0.177975597,0.734449736,0.419081711,0.031989889,0.276749186,0.14815564,0.17822736,0.814569536,0.407843137,RED_white_led_ids,RED,1.37,0.03,0.5488,0.7335,0.183,0.365,25/12/2025,White LED
R7,199,7,2401,2198,20251223_130300.jpg,2992,2992,0.147277049,0.732411796,0.418883855,0.030386595,0.248099975,0.152974115,0.147849462,0.742857143,0.4,RED_white_led_ids,RED,1.23,0.03,0.3513,0.7048,0.176,0.175,25/12/2025,White LED
R6,265,20,2251,2146,20251223_130236.jpg,2992,2992,0.137003956,0.691622415,0.385303298,0.03251184,0.261544661,0.127590411,0.137037037,0.683544304,0.380392157,RED_white_led_ids,RED,1.16,0.03,0.4764,0.898,0.225,0.252,25/12/2025,White LED
R5,225,0,2434,2231,20251223_125143.jpg,2992,2992,0.180247213,0.851769785,0.423077892,0.03713867,0.229464607,0.141201991,0.18125,1,0.419607843,RED_white_blue_led_ids,RED,1,0.03,0.0444,0.0357,0.009,0.035,25/12/2025,White+Blue LED
R4,0,0,2561,2152,20251223_125119.jpg,2992,2992,0.151886733,0.586509526,0.422265824,0.03970552,0.277851199,0.132158608,0.153256705,0.516129032,0.423529412,RED_white_blue_led_ids,RED,1.48,0.03,0.7471,1.1488,0.287,0.46,25/12/2025,White+Blue LED
R3,225,0,2336,2192,20251223_125058.jpg,2992,2992,0.163049164,0.663356923,0.420824884,0.043314813,0.288811158,0.155088175,0.166666667,0.652173913,0.411764706,RED_white_blue_led_ids,RED,1.23,0.03,0.3323,0.481,0.12,0.212,25/12/2025,White+Blue LED
R2,41,13,2559,2382,20251223_125034.jpg,2992,2992,0.15911228,0.58890083,0.428937939,0.04027117,0.301959651,0.146878378,0.160377358,0.523178808,0.42745098,RED_white_blue_led_ids,RED,1.33,0.03,0.4595,0.6231,0.156,0.304,25/12/2025,White+Blue LED
C5,219,39,2237,2310,20251223_132506.jpg,2992,2992,0.137148825,0.669006349,0.395291713,0.045683519,0.298161937,0.158406661,0.128415301,0.666666667,0.380392157,RED_Control_ids,RED,1.71,0.03,0.6944,0.7016,0.175,0.519,25/12/2025,Control-Sun
C4,750,295,2237,2349,20251223_132441.jpg,2992,2992,0.112794673,0.601720979,0.396554141,0.032386944,0.225255978,0.137804097,0.109452736,0.608333333,0.380392157,RED_Control_ids,RED,1.44,0.03,0.1813,0.2252,0.056,0.125,25/12/2025,Control-Sun
C3,0,0,2745,2205,20251223_132419.jpg,2992,2992,0.126876524,0.688340538,0.399390079,0.033991727,0.253434796,0.148064418,0.12254902,0.683168317,0.388235294,RED_Control_ids,RED,1.4,0.03,0.5147,0.5375,0.134,0.38,25/12/2025,Control-Sun
C2,0,52,2856,2336,20251223_132354.jpg,2992,2992,0.137010332,0.660076077,0.397992685,0.042424929,0.29479972,0.152153904,0.130208333,0.662650602,0.384313725,RED_Control_ids,RED,1.25,0.03,0.5171,0.5872,0.147,0.37,25/12/2025,Control-Sun
C1,717,0,2100,2178,20251223_132322.jpg,2992,2992,0.113418262,0.764884132,0.344416916,0.032596242,0.244507685,0.152479354,0.105882353,0.836065574,0.321568627,RED_Control_ids,RED,1.66,0.03,0.3949,0.4867,0.122,0.273,25/12/2025,Control-Sun
R15,173,210,2546,2493,20251223_131509.jpg,2992,2992,0.177570181,0.871085358,0.478314955,0.027698125,0.185821315,0.13942459,0.178571429,1,0.462745098,RED_Shade_ids,RED,1.12,0.03,0.3023,0.5778,0.144,0.158,25/12/2025,Shade
R14,173,26,2808,2231,20251223_131441.jpg,2992,2992,0.190338367,0.943320261,0.458740436,0.030880802,0.121588307,0.118778371,0.181372549,1,0.447058824,RED_Shade_ids,RED,1.16,0.03,0.2694,0.5717,0.143,0.126,25/12/2025,Shade
R13,9,151,2566,2552,20251223_131418.jpg,2992,2992,0.188783872,0.923670421,0.526028208,0.024909825,0.144121329,0.11185404,0.185185185,1,0.521568627,RED_Shade_ids,RED,1.4,0.03,0.3745,0.6017,0.15,0.224,25/12/2025,Shade
R12,238,0,2493,2605,20251223_131356.jpg,2992,2992,0.182061306,0.89801794,0.503757579,0.022761461,0.162200371,0.11673418,0.178678679,1,0.498039216,RED_Shade_ids,RED,0.84,0.03,0.0671,0.0455,0.011,0.056,25/12/2025,Shade
R11,61,0,2828,2592,20251223_131335.jpg,2992,2992,0.1901161,0.888333485,0.492038183,0.027622825,0.15552533,0.098544319,0.189342404,0.980392157,0.498039216,RED_Shade_ids,RED,1.05,0.03,0.3463,0.6847,0.171,0.175,25/12/2025,Shade
R1,140,7,2421,2034,20251223_125001.jpg,2992,2992,0.155535495,0.701705711,0.362278427,0.042570136,0.284230405,0.144948351,0.159663866,0.732142857,0.349019608,RED_white_blue_led_ids,RED,1.19,0.03,0.4624,0.7665,0.192,0.271,25/12/2025,White+Blue LED
R1,524,74,2077,2201,20251225_105832.jpg,2992,2992,0.161123095,0.642822397,0.479213686,0.035081996,0.307752338,0.174249737,0.160066007,0.613861386,0.482352941,RED_white_blue_led_ids,RED,1.32,0.03,0.3447,0.4428,0.111,0.234,31/12/2025,White+Blue LED
R10,367,8,2481,2258,20251225_111326.jpg,2992,2992,0.168400342,0.75667701,0.476092604,0.036741168,0.261168224,0.159788679,0.169135802,0.854166667,0.482352941,RED_white_led_ids,RED,1.69,0.03,0.3766,0.5876,0.147,0.23,31/12/2025,White LED
R9,277,17,2407,2341,20251225_111259.jpg,2992,2992,0.176354489,0.815288468,0.497636875,0.03353967,0.227538313,0.162977232,0.174603175,0.985576923,0.490196078,RED_white_led_ids,RED,1.53,0.03,0.3971,0.6621,0.166,0.232,31/12/2025,White LED
R8,87,8,2448,2324,20251225_111229.jpg,2992,2992,0.17559896,0.884479681,0.505706445,0.028353935,0.179865554,0.152695153,0.177696078,1,0.494117647,RED_white_led_ids,RED,0.89,0.03,0.4001,0.6581,0.165,0.236,31/12/2025,White LED
R7,310,280,2357,2234,20251225_111152.jpg,2992,2992,0.150907992,0.732562599,0.421544922,0.035954415,0.274375612,0.147430665,0.154385965,0.798561151,0.4,RED_white_led_ids,RED,1.17,0.03,0.4189,0.6681,0.167,0.252,31/12/2025,White LED
R6,318,165,2036,2069,20251225_111124.jpg,2992,2992,0.167230997,0.791793528,0.446672893,0.028407685,0.225511472,0.134956166,0.170103093,0.883333333,0.439215686,RED_white_led_ids,RED,1.29,0.03,0.3906,0.5912,0.148,0.243,31/12/2025,White LED
R5,54,17,2671,2110,20251225_110051.jpg,2992,2992,0.168502847,0.854025904,0.466318438,0.029545317,0.215270188,0.153744916,0.171428571,1,0.458823529,RED_white_blue_led_ids,RED,1.61,0.03,0.4115,0.4563,0.114,0.297,31/12/2025,White+Blue LED
R4,211,0,2399,2349,20251225_110017.jpg,2992,2992,0.154803293,0.712299468,0.533819257,0.0328292,0.27074306,0.120666138,0.158878505,0.763157895,0.537254902,RED_white_blue_led_ids,RED,1.8,0.03,0.3692,0.5843,0.146,0.223,31/12/2025,White+Blue LED
R3,0,33,2494,2151,20251225_105941.jpg,2992,2992,0.156614445,0.686083437,0.504404909,0.032698014,0.291851116,0.146856917,0.15952381,0.706521739,0.498039216,RED_white_blue_led_ids,RED,2.77,0.03,0.5158,0.5741,0.144,0.372,31/12/2025,White+Blue LED
R2,244,0,2366,2225,20251225_105858.jpg,2992,2992,0.165823419,0.650475945,0.476846111,0.035012443,0.303162644,0.163682657,0.170114943,0.6328125,0.466666667,RED_white_blue_led_ids,RED,1.71,0.03,0.4441,0.7598,0.19,0.254,31/12/2025,White+Blue LED
C5,491,8,2501,2687,20251225_113456.jpg,2992,2992,0.136994036,0.789119097,0.402625379,0.038471201,0.240041777,0.155085372,0.131111111,0.896296296,0.396078431,RED_Control_ids,RED,1.61,0.03,0.6089,0.3531,0.088,0.521,31/12/2025,Control-Sun
C4,458,66,2530,2514,20251225_113420.jpg,2992,2992,0.145818329,0.769006735,0.477312048,0.035998996,0.230929849,0.156616474,0.143274854,0.8,0.470588235,RED_Control_ids,RED,1.22,0.03,0.5629,0.5422,0.136,0.427,31/12/2025,Control-Sun
C3,236,8,2756,2415,20251225_113353.jpg,2992,2992,0.144858323,0.757264376,0.52731478,0.034371519,0.230472125,0.162613894,0.141025641,0.779069767,0.533333333,RED_Control_ids,RED,1.09,0.03,0.6139,0.6157,0.154,0.46,31/12/2025,Control-Sun
C2,0,0,2992,2555,20251225_113320.jpg,2992,2992,0.146043091,0.782610255,0.48238596,0.034757081,0.248923929,0.145173282,0.143939394,0.907801418,0.482352941,RED_Control_ids,RED,1.28,0.03,0.7704,0.4259,0.106,0.664,31/12/2025,Control-Sun
C1,161,17,2831,2704,20251225_113253.jpg,2992,2992,0.140764136,0.763587304,0.444247079,0.032991897,0.253539809,0.162126601,0.135881104,0.830508475,0.454901961,RED_Control_ids,RED,1.24,0.03,0.4537,0.3259,0.081,0.372,31/12/2025,Control-Sun
R15,21,25,2893,2588,20251225_112509.jpg,2992,2992,0.169144449,0.815504886,0.58887865,0.027857753,0.222367026,0.106707366,0.16954023,0.952702703,0.596078431,RED_Shade_ids,RED,1.15,0.03,0.3403,0.5243,0.131,0.209,31/12/2025,Shade
R14,0,0,2914,2473,20251225_112427.jpg,2992,2992,0.173753098,0.907478711,0.507994334,0.028748575,0.16567765,0.137581065,0.173371648,1,0.498039216,RED_Shade_ids,RED,1.04,0.03,0.3571,0.5738,0.143,0.214,31/12/2025,Shade
R13,194,74,2563,2530,20251225_112347.jpg,2992,2992,0.181311016,0.946758162,0.5531143,0.020471187,0.109124912,0.133333571,0.180652681,1,0.556862745,RED_Shade_ids,RED,1.04,0.03,0.3879,0.4841,0.121,0.236,31/12/2025,Shade
R12,0,25,2585,2522,20251225_112325.jpg,2992,2992,0.189645201,0.900539008,0.569246317,0.027428203,0.152174179,0.088223579,0.184027778,0.993333333,0.576470588,RED_Shade_ids,RED,0.85,0.03,0.4124,0.6571,0.164,0.224,31/12/2025,Shade
R11,62,17,2778,2506,20251225_112257.jpg,2992,2992,0.18105812,0.873283757,0.536832831,0.027112345,0.182143818,0.133858941,0.177595628,1,0.529411765,RED_Shade_ids,RED,1.37,0.03,0.4445,0.8693,0.217,0.195,31/12/2025,Shade
R13,422,118,1903,1890,20260128_113837.jpg,2992,2992,0.088825143,0.673055588,0.34352054,0.031317804,0.145620691,0.092813785,0.082222222,0.646153846,0.325490196,RED_Shade_ids,RED,0.21,0.03,0.9584,0.5563,0.139,0.871,29/01/2026,Shade
R14,337,210,2054,1719,20260128_113923.jpg,2992,2992,0.084239538,0.687497813,0.353054783,0.029801334,0.134932671,0.104882631,0.078014184,0.675675676,0.333333333,RED_Shade_ids,RED,0.24,0.03,1.0099,0.5701,0.143,0.867,29/01/2026,Shade
C3,232,46,2244,2119,20260128_115106.jpg,2992,2992,0.073444593,0.56740362,0.446912942,0.037000443,0.127507605,0.114235875,0.073099415,0.557971014,0.435294118,RED_Control_ids,RED,0.33,0.03,1.2156,0.6871,0.172,1.044,29/01/2026,Control-Sun
