DATE,Cultivar Name,Lettuce color,catalog id,Illumination,Chlorophyll interference,Anthocyanin
09.12.25,Gauguin RZ,RED,R5,White+Blue LED,0.181,0.386
09.12.25,Gauguin RZ,RED,R6,White LED,0.12,0.393
09.12.25,Gauguin RZ,RED,R7,White LED,0.218,0.332
09.12.25,Gauguin RZ,RED,R8,White LED,0.199,0.219
09.12.25,Gauguin RZ,RED,R9,White LED,0.198,0.296
09.12.25,Gauguin RZ,RED,R10,White LED,0.213,0.265
09.12.25,Gauguin RZ,RED,R11,Shade,0.149,0.202
09.12.25,Gauguin RZ,RED,R12,Shade,0.177,0.292
09.12.25,Gauguin RZ,RED,R13,Shade,0.208,0.164
09.12.25,Gauguin RZ,RED,R14,Shade,0.174,0.199
09.12.25,Gauguin RZ,RED,R15,Shade,0.178,0.321
09.12.25,Strada,GREEN,G1,White+Blue LED,0.123,0.033
09.12.25,Strada,GREEN,G2,White+Blue LED,0.125,0.038
09.12.25,Strada,GREEN,G3,White+Blue LED,0.14,0.035
09.12.25,Strada,GREEN,G4,White+Blue LED,0.147,0.031
09.12.25,Strada,GREEN,G5,White+Blue LED,0.157,0.032
09.12.25,Strada,GREEN,G6,White LED,0.115,0.036
09.12.25,Strada,GREEN,G7,White LED,0.141,0.044
09.12.25,Strada,GREEN,G8,White LED,0.096,0.037
09.12.25,Strada,GREEN,G9,White LED,0.1,0.035
09.12.25,Strada,GREEN,G10,White LED,0.105,0.044
09.12.25,Strada,GREEN,G11,Shade,0.125,0.033
09.12.25,Strada,GREEN,G12,Shade,0.085,0.041
09.12.25,Strada,GREEN,G13,Shade,0.105,0.033
09.12.25,Strada,GREEN,G14,Shade,0.109,0.042
09.12.25,Strada,GREEN,G15,Shade,0.105,0.034
09.12.25,Gauguin RZ,RED,C1,Control-Sun,0.159,0.399
09.12.25,Gauguin RZ,RED,C2,Control-Sun,0.166,0.634
09.12.25,Gauguin RZ,RED,C3,Control-Sun,0.175,0.411
09.12.25,Gauguin RZ,RED,C4,Control-Sun,0.176,0.704
09.12.25,Gauguin RZ,RED,C5,Control-Sun,0.129,0.884
09.12.25,Strada,GREEN,C6,Control-Sun,0.085,0.038
09.12.25,Strada,GREEN,C7,Control-Sun,0.092,0.032
09.12.25,Strada,GREEN,C8,Control-Sun,0.114,0.039
09.12.25,Strada,GREEN,C9,Control-Sun,0.088,0.032
09.12.25,Strada,GREEN,C10,Control-Sun,0.114,0.04
17.12.25,Gauguin RZ,RED,R1,White+Blue LED,0.111,0.234
17.12.25,Gauguin RZ,RED,R2,White+Blue LED,0.19,0.254
17.12.25,Gauguin RZ,RED,R3,White+Blue LED,0.144,0.372
17.12.25,Gauguin RZ,RED,R4,White+Blue LED,0.146,0.223
17.12.25,Gauguin RZ,RED,R5,White+Blue LED,0.114,0.297
17.12.25,Gauguin RZ,RED,R6,White LED,0.148,0.243
17.12.25,Gauguin RZ,RED,R7,White LED,0.167,0.252
17.12.25,Gauguin RZ,RED,R8,White LED,0.165,0.236
17.12.25,Gauguin RZ,RED,R9,White LED,0.166,0.232
17.12.25,Gauguin RZ,RED,R10,White LED,0.147,0.23
17.12.25,Gauguin RZ,RED,R11,Shade,0.217,0.227
17.12.25,Gauguin RZ,RED,R12,Shade,0.164,0.248
17.12.25,Gauguin RZ,RED,R13,Shade,0.121,0.267
17.12.25,Gauguin RZ,RED,R14,Shade,0.143,0.214
17.12.25,Gauguin RZ,RED,R15,Shade,0.131,0.209
17.12.25,Strada,GREEN,G1,White+Blue LED,0.087,0.049
17.12.25,Strada,GREEN,G2,White+Blue LED,0.111,0.037
17.12.25,Strada,GREEN,G3,White+Blue LED,0.066,0.052
17.12.25,Strada,GREEN,G4,White+Blue LED,0.1,0.036
17.12.25,Strada,GREEN,G5,White+Blue LED,0.095,0.037
17.12.25,Strada,GREEN,G6,White LED,0.072,0.037
17.12.25,Strada,GREEN,G7,White LED,0.119,0.038
17.12.25,Strada,GREEN,G8,White LED,0.088,0.031
17.12.25,Strada,GREEN,G9,White LED,0.091,0.046
17.12.25,Strada,GREEN,G10,White LED,0.095,0.035
17.12.25,Strada,GREEN,G11,Shade,0.079,0.049
17.12.25,Strada,GREEN,G12,Shade,0.088,0.038
17.12.25,Strada,GREEN,G13,Shade,0.074,0.038
17.12.25,Strada,GREEN,G14,Shade,0.088,0.038
17.12.25,Strada,GREEN,G15,Shade,0.098,0.039
17.12.25,Gauguin RZ,RED,C1,Control-Sun,0.081,0.372
17.12.25,Gauguin RZ,RED,C2,Control-Sun,0.106,0.664
17.12.25,Gauguin RZ,RED,C3,Control-Sun,0.154,0.46
17.12.25,Gauguin RZ,RED,C4,Control-Sun,0.136,0.427
17.12.25,Gauguin RZ,RED,C5,Control-Sun,0.088,0.521
17.12.25,Strada,GREEN,C6,Control-Sun,0.073,0.042
17.12.25,Strada,GREEN,C7,Control-Sun,0.124,0.047
17.12.25,Strada,GREEN,C8,Control-Sun,0.082,0.035
17.12.25,Strada,GREEN,C9,Control-Sun,0.086,0.059
17.12.25,Strada,GREEN,C10,Control-Sun,0.061,0.045
25.12.25,Gauguin RZ,RED,R1,White+Blue LED,0.192,0.271
25.12.25,Gauguin RZ,RED,R2,White+Blue LED,0.156,0.304
25.12.25,Gauguin RZ,RED,R3,White+Blue LED,0.12,0.212
25.12.25,Gauguin RZ,RED,R4,White+Blue LED,0.287,0.46
25.12.25,Gauguin RZ,RED,R5,White+Blue LED,0.009,0.035
25.12.25,Gauguin RZ,RED,R6,White LED,0.225,0.252
25.12.25,Gauguin RZ,RED,R7,White LED,0.176,0.175
25.12.25,Gauguin RZ,RED,R8,White LED,0.183,0.365
25.12.25,Gauguin RZ,RED,R9,White LED,0.13,0.268
25.12.25,Gauguin RZ,RED,R10,White LED,0.171,0.244
25.12.25,Gauguin RZ,RED,R11,Shade,0.171,-0.104
25.12.25,Gauguin RZ,RED,R12,Shade,0.011,0.363
25.12.25,Gauguin RZ,RED,R13,Shade,0.15,0.119
25.12.25,Gauguin RZ,RED,R14,Shade,0.143,0.126
25.12.25,Gauguin RZ,RED,R15,Shade,0.144,0.158
25.12.25,Strada,GREEN,G1,White+Blue LED,0.052,0.042
25.12.25,Strada,GREEN,G2,White+Blue LED,0.099,0.037
25.12.25,Strada,GREEN,G3,White+Blue LED,0.1,0.044
25.12.25,Strada,GREEN,G4,White+Blue LED,0.01,0.037
25.12.25,Strada,GREEN,G5,White+Blue LED,0.052,0.083
25.12.25,Strada,GREEN,G6,White LED,0.081,0.033
25.12.25,Strada,GREEN,G7,White LED,0.086,0.106
25.12.25,Strada,GREEN,G8,White LED,0.082,0.038
25.12.25,Strada,GREEN,G9,White LED,0.125,0.04
25.12.25,Strada,GREEN,G10,White LED,0.084,0.037
25.12.25,Strada,GREEN,G11,Shade,0.009,0.042
25.12.25,Strada,GREEN,G12,Shade,0.099,0.03
25.12.25,Strada,GREEN,G13,Shade,0.066,0.043
25.12.25,Strada,GREEN,G14,Shade,0.009,0.03
25.12.25,Strada,GREEN,G15,Shade,0.083,0.042
25.12.25,Gauguin RZ,RED,C1,Control-Sun,0.122,0.273
25.12.25,Gauguin RZ,RED,C2,Control-Sun,0.147,0.37
25.12.25,Gauguin RZ,RED,C3,Control-Sun,0.134,0.38
25.12.25,Gauguin RZ,RED,C4,Control-Sun,0.056,0.125
25.12.25,Gauguin RZ,RED,C5,Control-Sun,0.175,0.519
25.12.25,Strada,GREEN,C6,Control-Sun,0.093,0.035
25.12.25,Strada,GREEN,C7,Control-Sun,0.084,0.035
25.12.25,Strada,GREEN,C8,Control-Sun,0.064,0.041
25.12.25,Strada,GREEN,C9,Control-Sun,0.062,0.034
25.12.25,Strada,GREEN,C10,Control-Sun,0.086,0.041
31.12.25,Gauguin RZ,RED,R1,White+Blue LED,0.111,0.234
31.12.25,Gauguin RZ,RED,R2,White+Blue LED,0.19,0.254
31.12.25,Gauguin RZ,RED,R3,White+Blue LED,0.144,0.372
31.12.25,Gauguin RZ,RED,R4,White+Blue LED,0.146,0.223
31.12.25,Gauguin RZ,RED,R5,White+Blue LED,0.114,0.297
31.12.25,Gauguin RZ,RED,R6,White LED,0.148,0.243
31.12.25,Gauguin RZ,RED,R7,White LED,0.167,0.252
31.12.25,Gauguin RZ,RED,R8,White LED,0.165,0.236
31.12.25,Gauguin RZ,RED,R9,White LED,0.166,0.232
31.12.25,Gauguin RZ,RED,R10,White LED,0.147,0.23
31.12.25,Gauguin RZ,RED,R11,Shade,0.217,0.195
31.12.25,Gauguin RZ,RED,R12,Shade,0.164,0.224
31.12.25,Gauguin RZ,RED,R13,Shade,0.121,0.236
31.12.25,Gauguin RZ,RED,R14,Shade,0.143,0.214
31.12.25,Gauguin RZ,RED,R15,Shade,0.131,0.209
31.12.25,Strada,GREEN,G1,White+Blue LED,0.087,0.049
31.12.25,Strada,GREEN,G2,White+Blue LED,0.111,0.037
31.12.25,Strada,GREEN,G3,White+Blue LED,0.066,0.052
31.12.25,Strada,GREEN,G4,White+Blue LED,0.1,0.036
31.12.25,Strada,GREEN,G5,White+Blue LED,0.095,0.037
31.12.25,Strada,GREEN,G6,White LED,0.072,0.037
31.12.25,Strada,GREEN,G7,White LED,0.119,0.038
31.12.25,Strada,GREEN,G8,White LED,0.088,0.031
31.12.25,Strada,GREEN,G9,White LED,0.091,0.046
31.12.25,Strada,GREEN,G10,White LED,0.095,0.035
31.12.25,Strada,GREEN,G11,Shade,0.079,0.049
31.12.25,Strada,GREEN,G12,Shade,0.088,0.038
31.12.25,Strada,GREEN,G13,Shade,0.074,0.038
31.12.25,Strada,GREEN,G14,Shade,0.088,0.038
31.12.25,Strada,GREEN,G15,Shade,0.098,0.039
31.12.25,Gauguin RZ,RED,C1,Control-Sun,0.081,1.159
31.12.25,Gauguin RZ,RED,C2,Control-Sun,0.106,1.174
31.12.25,Gauguin RZ,RED,C3,Control-Sun,0.154,0.936
31.12.25,Gauguin RZ,RED,C4,Control-Sun,0.136,1.084
31.12.25,Gauguin RZ,RED,C5,Control-Sun,0.088,1.522
31.12.25,Strada,GREEN,C6,Control-Sun,0.073,2.047
31.12.25,Strada,GREEN,C7,Control-Sun,0.124,1.216
31.12.25,Strada,GREEN,C8,Control-Sun,0.082,1.588
31.12.25,Strada,GREEN,C9,Control-Sun,0.086,1.434
31.12.25,Strada,GREEN,C10,Control-Sun,0.061,1.139
